date,ticker,offexchange_source_available,offexchange_fresh,offexchange_history_n,offexchange_dpi,offexchange_dpi_z60,offexchange_volume_z60,patent_source_available,patent_count_30,patent_count_90,patent_claims_90,patent_ai_share_90,patent_acceleration_90,patent_count_90_z252,patent_claims_90_z252,patent_drift_source_available,patent_drift,patent_drift_percentile_24m,patent_drift_change_3m,sec13f_source_available,sec13f_fresh,sec13f_window_days,sec13f_net_change_usd_45d,sec13f_gross_change_usd_45d,sec13f_net_usd_ratio_45d,sec13f_net_change_shares_45d,sec13f_gross_change_shares_45d,sec13f_net_share_ratio_45d,sec13f_adders_45d,sec13f_reducers_45d,sec13f_breadth_45d,sec13f_breadth_rate_45d,sec13f_filing_count_45d,sec13f_new_positions_45d,sec13f_full_exits_45d,sec13f_total_held_45d,sec13f_net_change_to_held_45d
2024-01-31,AAPL,1,1,20,0.483702,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-01,AAPL,1,1,21,0.507015,0.851,0.0672,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-02,AAPL,1,1,22,0.512872,0.9028,0.4315,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-05,AAPL,1,1,23,0.553046,1.4607,4.4882,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-06,AAPL,1,1,24,0.383874,-1.0821,1.3165,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-07,AAPL,1,1,25,0.349452,-1.5314,-1.0337,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-08,AAPL,1,1,26,0.387597,-0.8972,-0.3158,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-09,AAPL,1,1,27,0.343168,-1.4952,-1.2448,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-12,AAPL,1,1,28,0.505235,0.8359,-1.0407,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-13,AAPL,1,1,29,0.456502,0.1315,-1.4043,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-14,AAPL,1,1,30,0.521828,1.0557,-0.4864,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-15,AAPL,1,1,31,0.3663,-1.1838,0.0759,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-16,AAPL,1,1,32,0.378646,-0.9652,0.8084,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-19,AAPL,1,1,33,0.378646,-0.9365,0.7877,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-20,AAPL,1,1,34,0.378646,-0.9102,0.7685,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-21,AAPL,1,1,35,0.444223,0.0438,-0.7779,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-22,AAPL,1,1,36,0.414245,-0.388,-1.7681,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-23,AAPL,1,1,37,0.415218,-0.3677,-0.2043,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-26,AAPL,1,1,38,0.468025,0.416,-0.4185,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-27,AAPL,1,1,39,0.355183,-1.2714,-1.1598,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-28,AAPL,1,1,40,0.400701,-0.5566,0.7236,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-02-29,AAPL,1,1,41,0.418012,-0.2893,0.3233,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-03-01,AAPL,1,1,42,0.465987,0.4384,1.2126,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
