date,ticker,insider_buy_score,insider_sell_risk,insider_net_score,news_risk_score,news_positive_score,app_rating_trend,app_rating_risk,patent_momentum,event_risk,offense_boost,defense_veto,signal_expiry_date,source_counts
2026-06-30,PFE,0,0,0,0,0,0,0,1.4452,0,0.2168,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":26,""patents"":1}"
2026-06-30,TMUS,0,0,0,0,0,0,0,9.0565,0,1.3585,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":21,""patents"":6}"
2026-06-30,UEIC,0,0,0,0,0,0,0,1.4166,0,0.2125,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":34,""patents"":1}"
2026-06-30,TSLA,0,0,0,0,0,0,0,2.3863,0,0.3579,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":21,""patents"":1}"
2026-06-30,DXCM,0,0,0,0,0,0,0,1.4166,0,0.2125,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":56,""patents"":1}"
2026-06-30,SEDG,0,0,0,0,0,0,0,1.5223,0,0.2283,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":42,""patents"":1}"
2026-06-30,WHR,0,0,0,0,0,0,0,4.0902,0,0.6135,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":32,""patents"":3}"
2026-06-30,PODD,0,0,0,0,0,0,0,3.0445,0,0.4567,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":39,""patents"":2}"
2026-06-30,KT,0,0,0,0,0,0,0,1.1513,0,0.1727,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":35,""patents"":1}"
2026-06-30,MCHP,0,0,0,0,0,0,0,7.583,0,1.1375,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":40,""patents"":4}"
2026-06-30,PEP,0,0,0,0,0,0,0,0.973,0,0.1459,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":34,""patents"":1}"
2026-06-30,NTAP,0,0,0,0,0,0,0,3.0678,0,0.4602,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":18,""patents"":2}"
2026-06-30,EW,0,0,0,0,0,0,0,4.1201,0,0.618,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":41,""patents"":2}"
2026-06-30,CAT,0,0,0,0,0,0,0,10,0,1.5909,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":28,""patents"":7}"
2026-06-30,CDNS,0,0,0,0,0,0,0,5.4897,0,0.8235,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":7,""patents"":3}"
2026-06-30,AIG,0,0,0,0,0,0,0,3.0445,0,0.4567,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":14,""patents"":2}"
2026-06-30,ABT,0,0,0,0,0,0,0,1.7918,0,0.2688,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":7,""patents"":1}"
2026-06-30,BAC,0,0,0,0,0,0,0,10,0,3.9171,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":28,""patents"":10}"
2026-06-30,ATRC,0,0,0,0,0,0,0,1.1513,0,0.1727,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":7,""patents"":1}"
2026-06-30,CALX,0,0,0,0,0,0,0,4.1174,0,0.6176,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":27,""patents"":2}"
2026-06-30,CMI,0,0,0,0,0,0,0,1.4452,0,0.2168,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":33,""patents"":1}"
2026-06-30,ENPH,0,0,0,0,0,0,0,2.2825,0,0.3424,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":28,""patents"":1}"
2026-06-30,EA,0,0,0,0,0,0,0,4.1452,0,0.6218,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":7,""patents"":1}"
2026-06-30,FFIV,0,0,0,0,0,0,0,3.5445,0,0.5317,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":14,""patents"":2}"
2026-06-30,HAE,0,0,0,0,0,0,0,1.2425,0,0.1864,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":7,""patents"":1}"
2026-06-30,GRMN,0,0,0,0,0,0,0,3.8725,0,0.5809,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":35,""patents"":3}"
2026-06-30,GLW,0,0,0,0,0,0,0,5.5597,0,0.834,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":28,""patents"":4}"
2026-06-30,GE,0,0,0,0,0,0,0,8.5639,0,1.2846,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":26,""patents"":6}"
2026-06-30,INFY,0,0,0,0,0,0,0,1.5223,0,0.2283,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":21,""patents"":1}"
2026-06-30,HUBB,0,0,0,0,0,0,0,1.8921,0,0.2838,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":26,""patents"":1}"
2026-06-30,LFUS,0,0,0,0,0,0,0,2.354,0,0.3531,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":14,""patents"":1}"
2026-06-30,KEYS,0,0,0,0,0,0,0,2.9674,0,0.4451,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":35,""patents"":2}"
2026-06-30,OII,0,0,0,0,0,0,0,1.5223,0,0.2283,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":14,""patents"":1}"
2026-06-30,NVDA,0,0,0,0,0,0,0,10,0,8.8987,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":14,""patents"":28}"
2026-06-30,NICE,0,0,0,0,0,0,0,8.774,0,1.3161,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":7,""patents"":6}"
2026-06-30,PKX,0,0,0,0,0,0,0,0.973,0,0.1459,0,2026-07-10,"{""insiders"":0,""news"":0,""apps"":7,""patents"":1}"
